HOUSEID,URBRUR,HOMEOWN,RATIO16V,RATIO16W,RATIOWV,TRAVDAY,HHNUMBIK,TELCELL,TELLAND,HHFAMINC,HHTOTD,NUMADLT,HHSIZE,CNTTDHH,HHVEHCNT,WRKCOUNT,DRVRCNT,HHSTATE,HTPPOPDN,HTHRESDN,HTEEMPDN
2M0006513,2,1,0.6667,1,0.6667,6,0,2,1,18,11,2,2,2,3,2,2,MD,50,25,25
2M0006514,1,1,1,2,0.5,6,3,1,1,17,11,2,2,6,2,1,2,MD,7000,2000,3000
2M0006519,1,1,1,0,0,6,0,0,1,13,11,2,2,16,2,0,2,MD,3000,2000,1500
2M0006523,1,1,0.75,1,0.75,6,3,1,2,13,11,3,4,19,4,3,3,MD,7000,4000,3000
2M0006524,1,2,1,1,1,6,0,1,1,8,11,1,1,2,1,1,1,MD,7000,4000,5000
2M0006533,2,1,1,2,0.5,6,1,0,3,-7,10,2,2,14,2,1,2,MD,300,150,150
2M0006539,1,1,1,0,0,6,0,0,1,9,10,1,1,0,1,0,1,MD,7000,4000,5000
2M0006550,1,1,2,0,0,7,0,0,1,8,11,2,2,8,1,0,2,MD,3000,2000,1500
2M0006551,1,1,1,2,0.5,7,1,1,1,12,11,2,5,21,2,1,2,MD,7000,2000,3000
2M0006553,1,2,1,1,1,7,0,1,1,18,11,1,1,2,1,1,1,MD,7000,2000,3000
2M0006556,2,1,1,1,1,3,3,3,2,18,14,2,5,6,3,3,3,MD,300,25,75
2M0006557,1,1,1,0,0,7,0,0,1,8,11,1,1,4,1,0,1,MD,7000,2000,3000
2M0006558,1,1,1,1,1,7,0,0,1,15,11,2,3,9,2,2,2,MD,1500,700,750
2M0006559,1,1,1,1,1,7,2,1,1,18,11,2,2,12,2,2,2,MD,3000,2000,1500
2M0006560,1,1,2,0,0,3,0,1,1,-7,12,2,2,10,1,0,2,MD,750,700,350
2M0006561,1,1,1,0,0,1,0,0,2,4,12,2,2,4,2,0,2,MD,30000,6000,-9
2M0006567,1,2,0,0,0,1,0,1,1,4,12,1,1,0,0,0,0,MD,7000,4000,3000
2M0006569,1,1,1,1,1,1,0,1,1,18,12,2,2,2,2,2,2,MD,300,150,75
2M0006571,1,2,0,0,0,1,0,0,1,-7,12,1,1,2,0,0,0,MD,7000,6000,5000
2M0006577,1,1,1,1.3333,0.75,2,0,0,1,14,13,3,6,18,4,3,3,MD,7000,2000,3000
2M0006578,2,1,1,1,1,2,0,0,1,18,13,1,1,2,1,1,1,MD,300,150,75
2M0006581,1,1,1,1,1,3,0,1,1,8,14,1,1,7,1,1,1,MD,3000,2000,1500
2M0006592,1,1,1,1,1,2,1,2,1,18,13,2,3,14,2,2,2,MD,7000,2000,1500
2M0006598,1,1,0,0,0,7,0,0,1,11,14,-8,2,10,3,0,2,MD,1500,700,750
2M0006606,1,2,1,1,1,2,1,0,1,8,13,1,1,2,1,1,1,MD,750,700,350
2M0006609,1,2,1,1,1,2,0,0,1,4,13,1,3,4,1,1,1,MD,17000,6000,5000
2M0006610,1,1,1,0,0,2,0,1,1,12,13,2,2,14,2,0,2,MD,3000,2000,1500
2M0006611,1,1,1,0,0,2,0,0,1,-7,13,1,1,8,1,0,1,MD,300,150,150
2M0006612,1,1,0,0,1,2,1,2,1,18,13,-8,5,16,2,2,2,MD,750,700,350
2M0006613,1,1,1,0,0,2,1,1,1,-7,13,2,2,5,2,0,1,MD,7000,2000,1500
2M0006616,1,2,0,0,0,3,0,0,1,3,8,1,1,3,0,0,0,MD,7000,4000,5000
2M0006620,1,1,1,1,1,2,0,2,2,13,12,3,3,6,3,3,3,MD,1500,700,750
2M0006621,1,1,0,1,0,2,1,1,3,10,12,2,2,6,0,2,1,MD,17000,6000,-9
2M0006624,1,1,0,0,0.5,2,0,1,1,-7,13,-8,2,9,2,1,2,MD,1500,700,750
2M0006628,2,1,0,0,0.6667,2,0,0,1,18,12,-8,3,2,3,2,3,MD,300,150,150
